sqs,A1,A10,A11,A12,A2,A3,A5,A6,A7,A9,B1,B10,B11,B12,B2,B3,B4,B6,B7,B9,C1,C10,C11,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H6,H7,H8,H9
sq71,0,29,0,0,0,11,0,0,11,0,0,0,0,0,16,0,19,0,0,30,0,0,0,0,0,30,0,0,34,9,0,0,0,36,0,19,0,0,0,0,0,0,0,0,0,305,14,2,0,0,0,0,0,0,0,14,8,0,40,52,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
sq72,0,0,59,35,0,0,0,0,0,0,0,42,45,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,13,27,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,127,30,0,0,0,0,0,0
sq73,0,0,0,39,0,0,0,0,0,0,0,107,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,15,6,49,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,17,0,0,99,0,0,0,0,0,0,0
sq74,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,71,0,0,0,0,99,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,303,0,0,0,0,0,0
sq75,0,0,0,0,0,0,105,0,0,0,0,0,0,0,50,0,0,0,0,0,6,0,0,0,0,145,25,0,0,0,63,0,0,0,0,88,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,46,4,0,0,0,0,0,0,0
sq76,0,0,47,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq77,0,0,12,27,0,0,0,0,0,0,0,123,34,7,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,34,0,0,0,0,0,0,0,16,0,18,0,0,0,0,0,0,0,0,6,6,34,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,102,24,0,0,0,0,0,0
sq79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
sq81,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,2,0,0,51,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
sq82,0,0,0,5,19,26,7,0,0,0,0,24,0,0,18,9,0,0,11,0,0,0,0,0,26,0,21,51,0,0,0,0,0,0,41,33,0,0,0,0,0,0,0,0,18,0,0,0,0,23,0,0,9,0,5,108,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,34,0
sq83,137,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,66,0,0,0,0,91,0,0,0,0,0,0,14,0,0,0,0,0
sq84,0,0,0,21,0,0,69,0,0,0,0,69,33,0,0,0,0,0,0,0,0,0,12,0,0,94,9,0,0,0,0,0,0,43,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
