sq_OTU,A1,A10,A11,A12,A2,A3,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
sq60,0,0,48,15,16,0,0,0,0,0,0,34,0,0,25,190,0,0,0,30,0,0,0,0,0,17,47,0,45,0,0,0,0,0,18,0,120,29,0,68,0,0,0,0,0,160,89,11,0,0,0,103,0,0,0,0,0,33,0,0,0,19,0,60,27,31,0,0,0,28,0,25,63,39,0,24,0,0,74,49,0,19,0,0,35,32,0,4,0,0,0,23,0
sq61,9,0,67,6,0,0,6,0,4,0,0,26,0,12,0,0,24,35,0,0,25,0,69,7,0,0,36,0,81,28,56,12,12,10,0,0,25,0,16,17,0,0,0,0,98,0,0,14,6,48,145,13,0,0,0,0,50,28,29,20,0,35,0,10,21,65,0,45,0,112,0,50,0,0,22,0,0,0,0,0,0,40,0,38,0,0,15,0,0,77,29,0,0
sq63,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,415,0,0,0,0,0,0,0,34,0,0,248,0,41,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0
sq64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq65,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,447,419,0,0,0,0,0,0,0,43,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
sq67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,0,0,0,26,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,32,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,163,0,973,0,0,24,5,0,0,0,0
sq68,55,76,18,22,0,0,0,0,6,0,48,0,22,29,48,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,55,43,24,0,0,0,0,0,0,20,45,0,0,0,83,0,15,0,12,0,0,0,87,0,34,0,69,0,0,17,71,0,0,0,0,19,0,0,261,0,19,0,0,12,30,0,0,14,0,46,22,0,73,0,23,0,5,0,0
sq69,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,173,141,0,0,191,0,0,66,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,143,0,0
sq70,0,75,0,77,0,0,0,0,24,0,724,0,0,0,0,0,0,0,14,0,0,0,29,13,16,0,0,0,0,0,0,0,19,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,32,0,0,37,106,0,0,0,7,0,0,0,0
sq71,0,97,0,0,0,21,0,0,11,113,0,0,0,0,0,28,0,25,16,0,0,0,48,0,0,0,35,0,0,57,0,0,35,22,0,0,0,44,0,8,27,0,0,0,0,0,0,0,0,0,496,29,6,0,0,0,0,0,0,0,0,30,19,0,78,81,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
sq72,0,0,205,83,0,0,0,0,0,0,0,0,85,219,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,29,40,79,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,289,70,0,0,0,0,0,0,0,0
sq73,0,0,0,106,0,0,0,0,0,0,0,0,237,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,46,26,170,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,45,0,0,212,0,0,0,0,0,0,0,0,0
sq74,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,136,0,0,0,0,122,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0
